id,school_name,is_verified,created_by,created_at,updated_at
110,TAFILALET HIGH SCHOOL,0,,2024-12-17 10:36:00,2024-12-17 10:36:00
111,INSTITUT NATIONAL DES POSTES ET TÉLÉCOMMUNICATIONS,0,,2024-12-17 10:36:51,2024-12-17 10:36:51
112,LYCÉE REDA SLAOUI CENTRE CPGE,0,,2024-12-17 10:36:51,2024-12-17 10:36:51
113,FACULTY OF SCIENCES AS-SEMLALIA MARRAKECH,0,,2024-12-18 09:52:50,2024-12-18 09:52:50
114,FACULTY OF SCIENCES SEMLALIA MARRAKECH,0,,2024-12-18 09:52:50,2024-12-18 09:52:50
115,"SED BIN EL-OUIDANE HIGH SCHOOL AFOURER, MOROCCO",0,,2024-12-18 09:52:50,2024-12-18 09:52:50
116,IO4PM,0,,2024-12-19 16:28:56,2024-12-19 16:28:56
117,CERTIFICATION AUTHORITY,0,,2024-12-19 16:28:56,2024-12-19 16:28:56
118,INTEC PARIS CNAM,0,,2024-12-19 16:28:56,2024-12-19 16:28:56
119,ENSIAS-ENSIMAG,0,,2024-12-19 16:28:56,2024-12-19 16:28:56
120,FÈS MOROCCO,0,,2024-12-19 16:28:56,2024-12-19 16:28:56
121,PRMIA,0,,2024-12-22 15:36:58,2024-12-22 15:36:58
122,UNIVERSITÉ DE MARNE LA VALLÉE,0,,2024-12-22 15:36:58,2024-12-22 15:36:58
123,PARIS GRADUATE SCHOOL OF MANAGEMENT,0,,2024-12-22 15:36:59,2024-12-22 15:36:59
124,FRENCH INSTITUTION,0,,2024-12-22 15:36:59,2024-12-22 15:36:59
125,UNISANTA,0,,2024-12-22 15:37:31,2024-12-22 15:37:31
126,IMPACTA,0,,2024-12-22 15:37:31,2024-12-22 15:37:31
127,EXIM,0,,2024-12-22 15:37:31,2024-12-22 15:37:31
128,CNAM,0,,2024-12-22 15:41:09,2024-12-22 15:41:09
129,CNAM-ESSEC,0,,2024-12-22 15:41:09,2024-12-22 15:41:09
130,IAE MONTPELLIER,0,,2024-12-22 15:41:09,2024-12-22 15:41:09
131,ECOLE DES MINES D’ALÈS,0,,2024-12-22 15:41:09,2024-12-22 15:41:09
132,UNIVERSITY PARIS IV,0,,2024-12-22 15:49:49,2024-12-22 15:49:49
133,UNSPECIFIED,0,,2024-12-22 15:49:49,2024-12-22 15:49:49
134,FACULDADE DE ECONOMIA DA UNIVERSIDADE DE COIMBRA,0,,2024-12-22 15:51:44,2024-12-22 15:51:44
135,UNIVERSIDADE DA BEIRA INTERIOR,0,,2024-12-22 15:51:44,2024-12-22 15:51:44
136,ISC PARIS SCHOOL OF MANAGEMENT,0,,2024-12-22 15:52:30,2024-12-22 15:52:30
137,YONSEI UNIVERSITY,0,,2024-12-22 15:52:30,2024-12-22 15:52:30
138,LYCÉE ALFRED KASTLER,0,,2024-12-22 15:52:30,2024-12-22 15:52:30
139,LYCÉE DE L’HAUTIL,0,,2024-12-22 15:52:30,2024-12-22 15:52:30
140,ENSI (NATIONAL SCHOOL OF COMPUTER SCIENCES),0,,2024-12-22 15:54:39,2024-12-22 15:54:39
141,"CNAM, PARIS",0,,2024-12-22 15:55:44,2024-12-22 15:55:44
142,"ENSEIRB, BORDEAUX",0,,2024-12-22 15:55:44,2024-12-22 15:55:44
143,"ENGINEERING SCHOOLS, MOROCCO",0,,2024-12-22 15:55:44,2024-12-22 15:55:44
144,MOROCCO,0,,2024-12-22 15:55:44,2024-12-22 15:55:44
145,UNIVERSITE PARIS DAUPHINE,0,,2024-12-22 15:55:44,2024-12-22 15:55:44
146,UNIVERSITY OF SOUTH FLORIDA,0,,2024-12-22 15:55:44,2024-12-22 15:55:44
147,LYCÉE BERTHOLET,0,,2024-12-22 15:55:44,2024-12-22 15:55:44
148,UNKNOWN,0,,2024-12-22 15:57:04,2024-12-22 15:57:04
149,EFREI,0,,2024-12-22 15:57:23,2024-12-22 15:57:23
150,LYCÉE DE LOCHES,0,,2024-12-22 15:57:23,2024-12-22 15:57:23
151,UNIVERSITÀ COMMERCIALE LUIGI BOCCONI,0,,2024-12-22 15:57:57,2024-12-22 15:57:57
152,LA SAPIENZA UNIVERSITY,0,,2024-12-22 15:57:58,2024-12-22 15:57:58
153,A. ROMITA SCIENTIFIC HIGH SCHOOL,0,,2024-12-22 15:57:58,2024-12-22 15:57:58
154,ESPCI AND IFP SCHOOL,0,,2024-12-22 15:58:29,2024-12-22 15:58:29
155,IFP SCHOOL,0,,2024-12-22 15:58:29,2024-12-22 15:58:29
156,UNIVERSITY OF EVRY VAL D’ESSONNE,0,,2024-12-22 15:59:09,2024-12-22 15:59:09
157,UNIVERSITY OF EVRY,0,,2024-12-22 15:59:09,2024-12-22 15:59:09
